         151132274 function calls (130869161 primitive calls) in 108.756 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1354(load_state_dict)
      940    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:61(__format__)
      6/1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1384(load)
     1040    0.000    0.000    0.000    0.000 /home/kavi/thesis/SensorModel.py:311(append_path)
      158    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:81(add)
        6    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1276(_load_from_state_dict)
      471    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:101(wrapper_setattr)
     1000    0.000    0.000    0.000    0.000 /home/kavi/thesis/Simulator.py:134(set_score)
      314    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:20(__enter__)
      600    0.000    0.000    0.000    0.000 /home/kavi/thesis/Robot.py:174(get_direction)
      940    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:169(colour)
      314    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:136(disable_on_exception)
     1412    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
     1411    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      116    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1133(__setattr__)
      314    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:171(__eq__)
     1040    0.000    0.000    0.000    0.000 /home/kavi/thesis/Robot.py:195(get_simulator)
     1000    0.000    0.000    0.000    0.000 /home/kavi/thesis/Simulator.py:137(reset_score)
